"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PN";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"C0";"22pF";"CAPACITOR_0603_L";"RESC0603_L";"Generic chip capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"TV1030-3R0106-R";"TV1030-3R0106-R";"5.0MM-SUPERCAP";"10F Supercapacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"CAP-07888";"";"";"";"2.2uF";"";
"C3";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"CAP-08280";"";"";"";"4.7uF";"";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"C5";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";"";
"C6";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";"";
"C7";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"CAP-08402";"";"";"";"22uF";"";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"";"";"0.1uF";"";
"C9";"6pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";"";"";"";
"C10";"6pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";"";"";"";
"C11";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"C13";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"C14";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";"";
"C15";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00868";"";"";"";"1.0uF";"";
"C16";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08604";"";"";"";"0.1uF";"";
"C17";"6pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";"";"";"";
